Year,Month,Anomaly
1950,January,-0.26
1950,February,-0.27
1950,March,-0.08
1950,April,-0.21
1950,May,-0.11
1950,June,-0.05
1950,July,-0.09
1950,August,-0.16
1950,September,-0.11
1950,October,-0.2
1950,November,-0.34
1950,December,-0.21
1951,January,-0.34
1951,February,-0.42
1951,March,-0.2
1951,April,-0.14
1951,May,0
1951,June,-0.07
1951,July,-0.01
1951,August,0.06
1951,September,0.05
1951,October,0.08
1951,November,-0.01
1951,December,0.16
1952,January,0.11
1952,February,0.11
1952,March,-0.08
1952,April,0.03
1952,May,-0.03
1952,June,-0.03
1952,July,0.04
1952,August,0.05
1952,September,0.07
1952,October,0
1952,November,-0.13
1952,December,-0.02
1953,January,0.08
1953,February,0.15
1953,March,0.11
1953,April,0.2
1953,May,0.11
1953,June,0.12
1953,July,0.01
1953,August,0.05
1953,September,0.04
1953,October,0.08
1953,November,-0.03
1953,December,0.05
1954,January,-0.24
1954,February,-0.1
1954,March,-0.15
1954,April,-0.14
1954,May,-0.2
1954,June,-0.18
1954,July,-0.19
1954,August,-0.17
1954,September,-0.1
1954,October,-0.02
1954,November,0.08
1954,December,-0.18
1955,January,0.13
1955,February,-0.16
1955,March,-0.32
1955,April,-0.22
1955,May,-0.2
1955,June,-0.14
1955,July,-0.11
1955,August,0.02
1955,September,-0.11
1955,October,-0.05
1955,November,-0.25
1955,December,-0.28
1956,January,-0.13
1956,February,-0.24
1956,March,-0.21
1956,April,-0.28
1956,May,-0.29
1956,June,-0.16
1956,July,-0.09
1956,August,-0.26
1956,September,-0.19
1956,October,-0.23
1956,November,-0.15
1956,December,-0.06
1957,January,-0.09
1957,February,-0.03
1957,March,-0.05
1957,April,0
1957,May,0.09
1957,June,0.16
1957,July,0.02
1957,August,0.15
1957,September,0.09
1957,October,0.01
1957,November,0.07
1957,December,0.15
1958,January,0.39
1958,February,0.22
1958,March,0.08
1958,April,0.01
1958,May,0.06
1958,June,-0.09
1958,July,0.05
1958,August,-0.05
1958,September,-0.02
1958,October,0.04
1958,November,0.02
1958,December,0.01
1959,January,0.08
1959,February,0.07
1959,March,0.18
1959,April,0.16
1959,May,0.04
1959,June,0.03
1959,July,0.03
1959,August,-0.01
1959,September,-0.06
1959,October,-0.07
1959,November,-0.08
1959,December,-0.01
1960,January,0
1960,February,0.13
1960,March,-0.35
1960,April,-0.15
1960,May,-0.08
1960,June,-0.04
1960,July,-0.04
1960,August,0.02
1960,September,0.07
1960,October,0.05
1960,November,-0.11
1960,December,0.19
1961,January,0.07
1961,February,0.19
1961,March,0.09
1961,April,0.13
1961,May,0.12
1961,June,0.12
1961,July,0.01
1961,August,0.01
1961,September,0.09
1961,October,0
1961,November,0.03
1961,December,-0.16
1962,January,0.05
1962,February,0.15
1962,March,0.1
1962,April,0.05
1962,May,-0.06
1962,June,0.03
1962,July,0.02
1962,August,-0.01
1962,September,0
1962,October,0.01
1962,November,0.06
1962,December,-0.03
1963,January,-0.03
1963,February,0.18
1963,March,-0.14
1963,April,-0.07
1963,May,-0.06
1963,June,0.05
1963,July,0.06
1963,August,0.22
1963,September,0.17
1963,October,0.14
1963,November,0.15
1963,December,-0.03
1964,January,-0.09
1964,February,-0.1
1964,March,-0.21
