X,Y,Date,Year,Incident Name,perimeterd,Acres Burned,stateCode,State,Category,,AL,Alabama
-110.8524714,31.77403691,14/02/2018,2018,BOX,12/02/2018,79.73239662,AZ,Arizona,Least Severe,,,
-94.57689712,34.78029223,06/04/2018,2018,Zoe,05/04/2018,0.20187736,OK,Oklahoma,Least Severe,,AZ,Arizona
-107.5935303,40.00208003,24/04/2017,2017,Milemarker 24,21/04/2017,82.99623877,CO,Colorado,Least Severe,,,
-114.2281373,44.44891538,13/07/2017,2017,Buffalo Jump,25/06/2017,5.4786559,ID,Idaho,Least Severe,,CA,California
-82.14463577,35.747856,06/02/2017,2017,SUGAR COVE,30/01/2017,126.7285827,NC,North Carolina,Least Severe,,CO,Colorado
-92.92851903,35.53937525,06/04/2017,2017,Fork Mountain,24/03/2017,4.3101937,AR,Arkansas,Least Severe,,CT,Connecticut
-160.160037,64.25741933,09/07/2017,2017,River North,07/07/2017,3078.837663,AK,Alaska,Least Severe,,DE,Delaware
-120.8247471,40.6275563,06/08/2018,2018,WHALEBACK,05/08/2018,18701.89841,CA,California,Moderate,,DC,District of Columbia
-102.6996608,42.99221495,06/09/2012,2012,Wellnitz,05/09/2012,77573.77548,NE,Nebraska,Very Severe,,FL,Florida
-110.8299702,34.46795825,06/04/2017,2017,Fisher,04/04/2017,93.77891276,AZ,Arizona,Least Severe,,GA,Georgia
-122.4852878,39.01799321,23/06/2014,2013,DOUBLE,16/08/2013,64.27366625,CA,California,Least Severe,,HI,Hawaii
-114.5052714,40.00566681,03/08/2018,2018,Sampson Creek,24/07/2018,187.6758788,NV,Nevada,Least Severe,,ID,Idaho
-80.91769509,26.26234635,20/03/2017,2017,GREENUP FIRE,16/03/2017,134.5550243,FL,Florida,Least Severe,,IL,Illinois
-92.89014887,35.8567061,27/02/2017,2017,Round Hill North,21/02/2017,60.83426147,AR,Arkansas,Least Severe,,IN,Indiana
-111.8474034,42.79470821,12/09/2008,2008,Caribou,30/08/2008,633.0488432,ID,Idaho,Least Severe,,IA,Iowa
-93.77088088,34.91006925,22/02/2018,2018,Hale Town,21/02/2018,111.3649428,AR,Arkansas,Least Severe,,KS,Kansas
-106.0079416,45.72655987,27/06/2017,2017,Sartin,26/06/2017,60.89647266,MT,Montana,Least Severe,,KY,Kentucky
-117.9620425,40.93785242,10/07/2017,2017,Barrett Springs,09/07/2017,3297.789981,NV,Nevada,Least Severe,,LA,Louisiana
-119.4785389,34.45867587,28/12/2017,2017,THOMAS,27/12/2017,281893.757,CA,California,Extremely Severe,,ME,Maine
-94.35435915,31.96201226,01/02/2012,2011,Henderson 578,25/09/2011,0.79119386,TX,Texas,Least Severe,,MD,Maryland
-111.1334522,31.46402916,16/11/2011,2011,Murphy Complex,10/06/2011,70768.56896,AZ,Arizona,Very Severe,,MA,Massachusetts
-115.3464439,44.21513385,07/11/2011,2011,Castro,02/11/2011,4854.953207,ID,Idaho,Least Severe,,MI,Michigan
-108.9632121,44.54310364,12/07/2017,2017,SAND STONE,11/07/2017,46.97348186,WY,Wyoming,Least Severe,,MN,Minnesota
-113.0475244,41.82092507,27/07/2017,2017,Wildcat,26/07/2017,13177.49078,UT,Utah,Moderate,,MS,Mississippi
-104.1125598,43.34307698,20/09/2017,2017,MULE CREEK,19/09/2017,206.3538369,WY,Wyoming,Least Severe,,MO,Missouri
-165.7888415,54.13447772,13/03/2018,2018,Akutan,05/03/2018,17.95815672,AK,Alaska,Least Severe,,MT,Montana
-106.1105164,42.90312206,02/08/2018,2018,BLUE RIDGE,06/07/2018,4.03565786,WY,Wyoming,Least Severe,,NE,Nebraska
-117.6592424,41.01783162,03/08/2018,2018,Thompson,29/07/2018,0.47187259,NV,Nevada,Least Severe,,NV,Nevada
-119.4304281,39.83303383,03/08/2018,2018,Toby,05/07/2018,0.13726859,NV,Nevada,Least Severe,,NH,New Hampshire
